Nombre de la carrera,Dirección,Área del conocimiento,Datos Estadísticos (DGAE-UNAM),Aciertos Mínimos por Examen de Selección,Promedio de corte pase reglamentado,Cupo,Características del aspirante,Descripción de la carrera,Palabras asociadas
Música - Canto,"Facultad de Música, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 114. La asignación total de lugares para esta carrera fue de 28, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 61% del alumnado de primer ingreso son mujeres y 39% hombres.",Facultad de Música: 60,Facultad de Música: 7.80,Asignación total de 28 lugares,"Haber cursado el Área de las Humanidades y Artes. Talento vocal, aptitudes musicales y conocimientos básicos de teoría musical. Disciplina, sensibilidad artística y vocación escénica.","El cantante profesional domina la técnica vocal para interpretar obras del repertorio lírico y de concierto, desarrollando una carrera como solista o en agrupaciones corales.","música, canto, técnica vocal, ópera, repertorio vocal, música de concierto, solista, coro"
Música - Composición,"Facultad de Música, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 77. La asignación total de lugares para esta carrera fue de 31, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 16% del alumnado de primer ingreso son mujeres y 84% hombres.",Facultad de Música: 65,Facultad de Música: 8.10,Asignación total de 31 lugares,"Haber cursado el Área de las Humanidades y Artes. Conocimientos sólidos de teoría musical, armonía y contrapunto. Creatividad, capacidad de análisis y vocación por la creación musical.",El compositor crea obras musicales originales aplicando técnicas de composición y orquestación para diversos géneros y formatos instrumentales o vocales.,"música, composición musical, teoría musical, armonía, contrapunto, orquestación, creación musical"
Música - Educación Musical,"Facultad de Música, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 94. La asignación total de lugares para esta carrera fue de 33, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 36% del alumnado de primer ingreso son mujeres y 64% hombres.",Facultad de Música: 55,Facultad de Música: 7.70,Asignación total de 33 lugares,Haber cursado el Área de las Humanidades y Artes. Conocimientos musicales básicos y vocación por la docencia. Interés por la pedagogía y la didáctica de la música.,"El educador musical está formado para planear, conducir y evaluar procesos de enseñanza-aprendizaje musical en diversos niveles educativos y contextos sociales.","música, educación musical, pedagogía musical, didáctica musical, docencia, enseñanza de la música, formación musical"
Música - Instrumentista,"Facultad de Música, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 560. La asignación total de lugares para esta carrera fue de 126, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 32% del alumnado de primer ingreso son mujeres y 68% hombres.",Facultad de Música: 60,Facultad de Música: 7.90,Asignación total de 126 lugares,"Haber cursado el Área de las Humanidades y Artes. Dominio técnico previo de un instrumento musical y conocimientos de teoría musical. Disciplina, dedicación y sensibilidad artística.","El instrumentista profesional domina la técnica y el repertorio de un instrumento musical específico para desempeñarse como solista, en orquestas o en agrupaciones de cámara.","música, instrumentista, instrumento musical, ejecución musical, repertorio instrumental, orquesta, música de cámara, solista"
Música - Piano,"Facultad de Música, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 120. La asignación total de lugares para esta carrera fue de 28, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",Facultad de Música: 65,Facultad de Música: 8.10,Asignación total de 28 lugares,"Haber cursado el Área de las Humanidades y Artes. Dominio técnico previo del piano y conocimientos de teoría musical. Disciplina, dedicación y sensibilidad artística.","El pianista profesional domina la técnica y el repertorio del piano para desempeñarse como solista, en música de cámara o como acompañante.","música, piano, pianista, técnica pianística, repertorio pianístico, música de cámara, solista, acompañamiento"
Música y Tecnología Artística,"ENES Unidad Morelia, Michoacán",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 107. La asignación total de lugares para esta carrera fue de 39, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 28% del alumnado de primer ingreso son mujeres y 72% hombres.",ENES Unidad Morelia: 65,ENES Unidad Morelia: 7.88,Información no disponible en la página de oferta,Haber cursado el Área de las Humanidades y Artes o Físico-Matemáticas. Interés por la música y la tecnología aplicada a la creación sonora. Conocimientos musicales básicos y gusto por la innovación.,"El licenciado en Música y Tecnología Artística integra conocimientos musicales con herramientas tecnológicas para la creación, producción y difusión de obras sonoras y multimedia.","música, tecnología musical, producción musical, audio digital, composición electroacústica, arte sonoro, multimedia, acústica"
Nanotecnología,"Facultad de Ciencias, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 713. La asignación total de lugares para esta carrera fue de 67, por lo que de cada 11 estudiantes que demandaron la carrera, ingresó 1. El 49% del alumnado de primer ingreso son mujeres y 51% hombres.",Facultad de Ciencias: 101,Facultad de Ciencias: 9.00,Asignación total de 67 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Sólidos conocimientos en física, química, matemáticas y biología. Interés por la ciencia de vanguardia a escala nanométrica.","El nanotecnólogo estudia y manipula la materia a escala nanométrica para desarrollar nuevos materiales, dispositivos y sistemas con propiedades únicas para aplicaciones en diversas industrias.","nanotecnología, nanociencia, materiales nanoestructurados, nanomateriales, física de partículas, química supramolecular, biotecnología, innovación"
Negocios Internacionales,"ENES Unidad Juriquilla, Querétaro",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,143. La asignación total de lugares para esta carrera fue de 111, por lo que de cada 10 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",ENES Unidad Juriquilla: 82,ENES Unidad Juriquilla: 8.20,Asignación total de 111 lugares,"Haber cursado el Área de las Ciencias Sociales. Interés por el comercio internacional, los negocios globales y las relaciones económicas. Dominio del inglés y gusto por otras culturas.","El licenciado en Negocios Internacionales analiza y gestiona operaciones comerciales y de inversión en el ámbito global, considerando los aspectos económicos, legales y culturales de los mercados internacionales.","negocios internacionales, comercio internacional, globalización, logística internacional, mercadotecnia global, finanzas internacionales, aduanas"
Neurociencias,"ENES Unidad Juriquilla, Querétaro","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,067. La asignación total de lugares para esta carrera fue de 85, por lo que de cada 13 estudiantes que demandaron la carrera, ingresó 1. El 61% del alumnado de primer ingreso son mujeres y 39% hombres.",ENES Unidad Juriquilla: 99,ENES Unidad Juriquilla: 9.00,Asignación total de 85 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Sólidos conocimientos en biología, química y física. Interés por el sistema nervioso, el cerebro y la conducta.","El neurocientífico estudia la estructura, función, desarrollo y patologías del sistema nervioso desde una perspectiva multidisciplinaria para comprender las bases biológicas de la conducta y la cognición.","neurociencias, cerebro, sistema nervioso, neurobiología, neurofisiología, cognición, conducta, neurociencia cognitiva"
Nutriología,"Facultad de Estudios Superiores Zaragoza, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,489. La asignación total de lugares para esta carrera fue de 122, por lo que de cada 12 estudiantes que demandaron la carrera, ingresó 1. El 74% del alumnado de primer ingreso son mujeres y 26% hombres.",FES Zaragoza: 89,FES Zaragoza: 8.48,Asignación total de 122 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Conocimientos de biología, química y matemáticas. Interés por la alimentación, la nutrición y la salud pública.","El nutriólogo es el profesional que evalúa el estado de nutrición de individuos y poblaciones, y diseña e implementa planes de alimentación para promover la salud y prevenir enfermedades.","nutriología, nutrición, alimentación, dietética, salud, metabolismo, nutrición clínica, nutrición comunitaria"
Odontología,"Facultad de Estudios Superiores Iztacala, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,140. La asignación total de lugares para esta carrera fue de 239, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 68% del alumnado de primer ingreso son mujeres y 32% hombres.",FES Iztacala: 89,FES Iztacala: 8.49,Asignación total de 239 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Habilidad manual fina y psicomotricidad. Vocación de servicio y ética profesional.","El odontólogo es el profesional que previene, diagnostica y trata las enfermedades del sistema estomatognático, restaurando la salud bucal de los pacientes.","odontología, salud bucal, dientes, estomatología, operatoria dental, endodoncia, periodoncia, ortodoncia"
Optometría,"Facultad de Estudios Superiores Iztacala, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,308. La asignación total de lugares para esta carrera fue de 182, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 67% del alumnado de primer ingreso son mujeres y 33% hombres.",FES Iztacala: 85,FES Iztacala: 8.30,Asignación total de 182 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Interés por la salud visual y la óptica. Habilidad manual y vocación de servicio.","El optometrista es el profesional que evalúa, diagnostica y trata las alteraciones visuales no patológicas, prescribiendo lentes y realizando terapias visuales para mejorar la calidad de vida.","optometría, salud visual, lentes, optometría clínica, contactología, terapia visual, óptica, refracción"
Órtesis y Prótesis,"ENES Unidad Juriquilla, Querétaro","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 177. La asignación total de lugares para esta carrera fue de 41, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 66% del alumnado de primer ingreso son mujeres y 34% hombres.",ENES Unidad Juriquilla: 74,ENES Unidad Juriquilla: 8.00,Asignación total de 41 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Interés por la rehabilitación física, la biomecánica y la tecnología médica. Habilidad manual y creatividad.","El licenciado en Órtesis y Prótesis diseña, fabrica y adapta dispositivos ortopédicos (órtesis) y prótesis para restaurar la función y mejorar la calidad de vida de personas con discapacidad.","órtesis, prótesis, rehabilitación, biomecánica, ortopedia, tecnología asistiva, discapacidad, dispositivos médicos"
Pedagogía,Facultad de Filosofía y Letras (Cd. Mx.) / FES Acatlán (Edo. Méx.) / FES Aragón (Edo. Méx.),Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 5,010. La asignación total de lugares para esta carrera fue de 843, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 75% del alumnado de primer ingreso son mujeres y 25% hombres.",Facultad de Filosofía y Letras: 70 | FES Acatlán: 64 | FES Aragón: 64,Facultad de Filosofía y Letras: 7.84 | FES Acatlán: 7.68 | FES Aragón: 7.64,Asignación total de 843 lugares,"Haber cursado el Área de las Humanidades y Artes o Ciencias Sociales. Interés por la educación, la enseñanza y el aprendizaje. Vocación de servicio y capacidad de análisis.","El pedagogo es el profesional que analiza, diseña, implementa y evalúa procesos educativos en diversos contextos, desde el ámbito escolar hasta el organizacional y comunitario.","pedagogía, educación, didáctica, currículo, evaluación educativa, formación docente, intervención educativa, orientación educativa"
Planificación para el Desarrollo Agropecuario,"ENES Unidad León, Guanajuato",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 28. La asignación total de lugares para esta carrera fue de 23, por lo que de cada 1 estudiante que demandó la carrera, ingresó 1. El 57% del alumnado de primer ingreso son mujeres y 43% hombres.",ENES Unidad León: 45,ENES Unidad León: 7.30,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Sociales o Biológicas. Interés por el desarrollo rural, la planeación y el sector agropecuario. Vocación por el trabajo comunitario.",El planificador para el desarrollo agropecuario diseña y gestiona proyectos y políticas para impulsar el desarrollo del sector rural y agropecuario con un enfoque sustentable y participativo.,"planeación, desarrollo agropecuario, desarrollo rural, políticas públicas, sector agropecuario, proyectos productivos, sustentabilidad"
Psicología,Facultad de Psicología (Cd. Mx.) / FES Iztacala (Edo. Méx.) / FES Zaragoza (Edo. Méx.),Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 15,815. La asignación total de lugares para esta carrera fue de 1,692, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 73% del alumnado de primer ingreso son mujeres y 27% hombres.",Facultad de Psicología: 88 | FES Iztacala: 79 | FES Zaragoza: 81,Facultad de Psicología: 8.20 | FES Iztacala: 7.95 | FES Zaragoza: 7.99,"Asignación total de 1,692 lugares","Haber cursado el Área de las Ciencias Sociales o Biológicas y de la Salud. Interés por el comportamiento humano, los procesos mentales y la salud mental. Empatía y capacidad de escucha.","El psicólogo estudia el comportamiento y los procesos mentales del ser humano para promover la salud mental, prevenir trastornos y contribuir al bienestar individual y social.","psicología, comportamiento humano, salud mental, psicología clínica, psicología social, psicología educativa, psicología organizacional"
Química,"Facultad de Química, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 943. La asignación total de lugares para esta carrera fue de 168, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 55% del alumnado de primer ingreso son mujeres y 45% hombres.",Facultad de Química: 84,Facultad de Química: 8.32,Asignación total de 168 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Sólidos conocimientos en química, física y matemáticas. Gusto por la investigación y el trabajo de laboratorio.","El químico estudia la composición, estructura, propiedades y transformaciones de la materia, generando conocimiento y desarrollando nuevos compuestos y materiales.","química, química orgánica, química inorgánica, fisicoquímica, química analítica, bioquímica, laboratorio químico"
Química de Alimentos,"Facultad de Química, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 513. La asignación total de lugares para esta carrera fue de 66, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 71% del alumnado de primer ingreso son mujeres y 29% hombres.",Facultad de Química: 85,Facultad de Química: 8.28,Asignación total de 66 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Interés por los alimentos, su composición química y su análisis. Gusto por el trabajo de laboratorio.","El químico de alimentos analiza la composición química de los alimentos, estudia sus transformaciones durante el procesamiento y asegura su calidad e inocuidad.","química de alimentos, bromatología, análisis de alimentos, inocuidad alimentaria, composición de alimentos, tecnología de alimentos, laboratorio de alimentos"
Química e Ingeniería en Materiales,"Facultad de Química, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 375. La asignación total de lugares para esta carrera fue de 69, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 52% del alumnado de primer ingreso son mujeres y 48% hombres.",Facultad de Química: 80,Facultad de Química: 8.20,Asignación total de 69 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Interés por los materiales, su estructura, propiedades y aplicaciones. Gusto por la investigación y la innovación.","El licenciado en Química e Ingeniería en Materiales estudia la relación entre la estructura, propiedades, procesamiento y desempeño de los materiales para desarrollar nuevos materiales con aplicaciones tecnológicas.","materiales, química de materiales, ingeniería de materiales, polímeros, cerámicos, metales, materiales compuestos, nanotecnología"
Química Farmacéutico Biológica,"Facultad de Química, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,868. La asignación total de lugares para esta carrera fue de 199, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 66% del alumnado de primer ingreso son mujeres y 34% hombres.",Facultad de Química: 95,Facultad de Química: 8.71,Asignación total de 199 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Sólidos conocimientos en química, biología y matemáticas. Interés por los medicamentos, su desarrollo, análisis y producción.","El Químico Farmacéutico Biólogo es el profesional que investiga, desarrolla, produce, controla y evalúa medicamentos y productos biológicos para la prevención, diagnóstico y tratamiento de enfermedades.","química farmacéutica, farmacia, medicamentos, biología, bioquímica, industria farmacéutica, control de calidad, farmacología"
Química Industrial,"Facultad de Química, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 420. La asignación total de lugares para esta carrera fue de 100, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 50% del alumnado de primer ingreso son mujeres y 50% hombres.",Facultad de Química: 79,Facultad de Química: 8.00,Asignación total de 100 lugares,Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Interés por los procesos químicos a nivel industrial y la producción a gran escala.,"El Químico Industrial aplica los principios de la química para diseñar, controlar y optimizar procesos de producción industrial en plantas químicas, asegurando la calidad y eficiencia.","química industrial, procesos químicos, producción industrial, control de calidad, ingeniería química, plantas industriales, manufactura química"
Relaciones Internacionales,Facultad de Ciencias Políticas y Sociales (Cd. Mx.) / FES Acatlán (Edo. Méx.) / FES Aragón (Edo. Méx.),Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 5,314. La asignación total de lugares para esta carrera fue de 622, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 59% del alumnado de primer ingreso son mujeres y 41% hombres.",FCPyS: 88 | FES Acatlán: 76 | FES Aragón: 75,FCPyS: 8.30 | FES Acatlán: 7.98 | FES Aragón: 7.92,Asignación total de 622 lugares,"Haber cursado el Área de las Ciencias Sociales. Interés por la política mundial, la diplomacia y las relaciones entre países. Dominio del inglés y gusto por otras culturas. Capacidad de análisis.","El internacionalista analiza la realidad política, económica, jurídica y social del sistema internacional, y participa en la formulación y ejecución de la política exterior de los estados y organismos internacionales.","relaciones internacionales, política exterior, diplomacia, comercio internacional, organismos internacionales, geopolítica, derecho internacional, globalización"
Sociología,Facultad de Ciencias Políticas y Sociales (Cd. Mx.) / FES Acatlán (Edo. Méx.) / FES Aragón (Edo. Méx.),Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,037. La asignación total de lugares para esta carrera fue de 465, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 60% del alumnado de primer ingreso son mujeres y 40% hombres.",FCPyS: 72 | FES Acatlán: 59 | FES Aragón: 60,FCPyS: 7.67 | FES Acatlán: 7.40 | FES Aragón: 7.42,Asignación total de 465 lugares,"Haber cursado el Área de las Ciencias Sociales. Interés por la sociedad, los fenómenos sociales y los problemas colectivos. Capacidad de análisis crítico y de investigación.","El sociólogo estudia la estructura, organización y dinámica de la sociedad, analizando los fenómenos y problemas sociales para comprenderlos y proponer soluciones.","sociología, sociedad, estructura social, cambio social, teoría sociológica, investigación social, problemas sociales"
Sociología Aplicada,"Facultad de Estudios Superiores Acatlán, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 322. La asignación total de lugares para esta carrera fue de 65, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 58% del alumnado de primer ingreso son mujeres y 42% hombres.",FES Acatlán: 57,FES Acatlán: 7.40,Asignación total de 65 lugares,Haber cursado el Área de las Ciencias Sociales. Interés por aplicar el conocimiento sociológico a la solución de problemas concretos. Vocación por el trabajo de campo y la intervención social.,El sociólogo aplicado utiliza herramientas teóricas y metodológicas de la sociología para intervenir en realidades sociales específicas y contribuir a la solución de problemas en comunidades y organizaciones.,"sociología aplicada, intervención social, investigación-acción, políticas públicas, desarrollo comunitario, diagnóstico social, evaluación de proyectos"
Teatro y Actuación,"Centro Universitario de Teatro, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,093. La asignación total de lugares para esta carrera fue de 189, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 57% del alumnado de primer ingreso son mujeres y 43% hombres.",Centro Universitario de Teatro: 65,Centro Universitario de Teatro: Sin registro de solicitudes de ingreso por Pase Reglamentado,Asignación total de 189 lugares,"Haber cursado el Área de las Humanidades y Artes. Talento actoral, creatividad y capacidad de expresión corporal y vocal. Disciplina, concentración y capacidad de trabajo en equipo.","El licenciado en Teatro y Actuación es un artista escénico capaz de interpretar y crear personajes, participar en puestas en escena y desarrollar proyectos teatrales con una visión crítica y creativa.","teatro, actuación, artes escénicas, interpretación, actor, puesta en escena, dramaturgia, expresión corporal"
Tecnología,"ENES Unidad Juriquilla, Querétaro",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 115. La asignación total de lugares para esta carrera fue de 44, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 41% del alumnado de primer ingreso son mujeres y 59% hombres.",ENES Unidad Juriquilla: 72,ENES Unidad Juriquilla: 7.78,Asignación total de 44 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la tecnología, la innovación y la resolución de problemas prácticos. Capacidad de análisis y creatividad.","El licenciado en Tecnología aplica conocimientos y metodologías para resolver problemas de innovación tecnológica, adaptando y desarrollando soluciones en diversos campos productivos.","tecnología, innovación, desarrollo tecnológico, prototipado, proyectos tecnológicos, solución de problemas, transferencia tecnológica"
Tecnologías para la Información en Ciencias,"ENES Unidad Morelia, Michoacán",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 91. La asignación total de lugares para esta carrera fue de 41, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 44% del alumnado de primer ingreso son mujeres y 56% hombres.",ENES Unidad Morelia: 60,ENES Unidad Morelia: 7.50,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la computación, las bases de datos y la gestión de información científica. Gusto por la programación.","El licenciado en Tecnologías para la Información en Ciencias aplica herramientas computacionales para gestionar, analizar y visualizar datos e información científica en diversas disciplinas.","tecnologías de la información, ciencia de datos, bases de datos científicas, programación, visualización de datos, gestión de información, e-ciencia"
Trabajo Social,"Escuela Nacional de Trabajo Social, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 3,498. La asignación total de lugares para esta carrera fue de 578, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 76% del alumnado de primer ingreso son mujeres y 24% hombres.",ENTS: 63,ENTS: 7.45,Asignación total de 578 lugares,"Haber cursado el Área de las Ciencias Sociales. Vocación de servicio, sensibilidad social y empatía. Interés por el bienestar comunitario y la gestión de recursos sociales.","El trabajador social es el profesional que investiga, planea, gestiona y evalúa programas y políticas sociales para promover el bienestar y desarrollo de individuos, grupos y comunidades.","trabajo social, intervención social, bienestar social, políticas sociales, desarrollo comunitario, gestión social, investigación social"
Traducción,"ENES Unidad Morelia, Michoacán",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 234. La asignación total de lugares para esta carrera fue de 59, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 71% del alumnado de primer ingreso son mujeres y 29% hombres.",ENES Unidad Morelia: 69,ENES Unidad Morelia: 8.00,Información no disponible en la página de oferta,"Haber cursado el Área de las Humanidades y Artes. Dominio de al menos dos lenguas (español e inglés u otra). Interés por la lingüística, la cultura y la comunicación intercultural.","El traductor es el profesional que transfiere mensajes escritos de una lengua a otra de manera precisa y culturalmente adecuada, facilitando la comunicación entre diferentes culturas.","traducción, traductor, interpretación, lenguas, lingüística aplicada, comunicación intercultural, traducción especializada"
Turismo y Desarrollo Sostenible,"ENES Unidad Mérida, Yucatán",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 184. La asignación total de lugares para esta carrera fue de 69, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 71% del alumnado de primer ingreso son mujeres y 29% hombres.",ENES Unidad Mérida: 60,ENES Unidad Mérida: 7.62,Asignación total de 69 lugares,"Haber cursado el Área de las Ciencias Sociales o Biológicas. Interés por el turismo, la sustentabilidad y el desarrollo comunitario. Gusto por viajar y conocer otras culturas.","El licenciado en Turismo y Desarrollo Sostenible planifica y gestiona proyectos turísticos que promueven el desarrollo económico y social de las comunidades, respetando el medio ambiente y el patrimonio cultural.","turismo, desarrollo sostenible, ecoturismo, turismo cultural, gestión turística, sustentabilidad, patrimonio, desarrollo comunitario"
Urbanismo,"Facultad de Arquitectura, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 438. La asignación total de lugares para esta carrera fue de 78, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 55% del alumnado de primer ingreso son mujeres y 45% hombres.",Facultad de Arquitectura: 79,Facultad de Arquitectura: 8.00,Asignación total de 78 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Sociales. Interés por las ciudades, la planeación urbana y el ordenamiento territorial. Capacidad de análisis espacial.","El urbanista planifica, diseña y gestiona el desarrollo de las ciudades y el territorio, promoviendo espacios urbanos sustentables, equitativos y con calidad de vida.","urbanismo, planeación urbana, ciudad, ordenamiento territorial, diseño urbano, desarrollo urbano, sustentabilidad urbana, gestión urbana"
